Project,Amount,Type,Action
REDLAND RIDGE REDWOOD / REDLAND RIDGE SF,500.0,Extra in QB,"SOBRA EN QB: Transacción por $500.00 (Name: LENNAR:ABESS:LOT05/04:X, Memo: 163875)"
SALERNO,100.0,Extra in QB,"SOBRA EN QB: Transacción por $100.00 (Name: LENNAR:SALERNO EAST (WALLACE):LOT08/01:X, Memo: 164005)"
SOLSTICE TH,21070.44,Extra in QB,"SOBRA EN QB: Transacción por $21,070.44 (Name: LENNAR:BLUE TANGO (SOLSTICE):BLD01(01-06):A, Memo: 164232)"
SOLSTICE TH,6367.27,Extra in QB,"SOBRA EN QB: Transacción por $6,367.27 (Name: LENNAR:BLUE TANGO (SOLSTICE):BLD05(01-10):C, Memo: 164231 LOT001, LOT003)"
SOLSTICE TH,177.54,Extra in QB,"SOBRA EN QB: Transacción por $177.54 (Name: LENNAR:BLUE TANGO (SOLSTICE):BLD07(01-10):X, Memo: 163736)"
SOLSTICE TH,14295.22,Extra in QB,"SOBRA EN QB: Transacción por $14,295.22 (Name: LENNAR:BLUE TANGO (SOLSTICE):BLD10(01-10):B, Memo: 164233)"
SOLSTICE TH,419.57,Extra in QB,"SOBRA EN QB: Transacción por $419.57 (Name: LENNAR:BLUE TANGO (SOLSTICE):BLD13(01-10):X, Memo: 163886)"
SP RESIDENTIAL VILLAS,450.0,Extra in QB,"SOBRA EN QB: Transacción por $450.00 (Name: LENNAR:SP RESIDENTIAL VILLAS:BLD12(01-10):X, Memo: 164235)"
SP RESIDENTIAL VILLAS,900.0,Extra in QB,"SOBRA EN QB: Transacción por $900.00 (Name: LENNAR:SP RESIDENTIAL VILLAS:BLD16(10-18):X, Memo: 163998)"
VIVANT - 2510660,17672.52,Extra in QB,"SOBRA EN QB: Transacción por $17,672.52 (Name: LENNAR:NEWTON ROAD ( THANG DANG VIVANT ) CONDO:BLD11(01-10):A, Memo: 164234)"
VIVANT 2510460,350.0,Extra in QB,"SOBRA EN QB: Transacción por $350.00 (Name: LENNAR:NEWTON ROAD ( THANG DANG VIVANT ) VILLAS:BLD03(01-06):X, Memo: 163919)"
WILDWOOD GROVES SF,1583.74,Extra in QB,"SOBRA EN QB: Transacción por $1,583.74 (Name: LENNAR:WILDWOOD GROVES (JMC Groves):LOT01/04:B, Memo: 164223)"
WILDWOOD GROVES SF,3060.98,Extra in QB,"SOBRA EN QB: Transacción por $3,060.98 (Name: LENNAR:WILDWOOD GROVES (JMC Groves):LOT03/13:A, Memo: 164222)"
WILDWOOD GROVES SF,2043.32,Extra in QB,"SOBRA EN QB: Transacción por $2,043.32 (Name: LENNAR:WILDWOOD GROVES (JMC Groves):LOT06/03:B, Memo: 164224)"
