Project,Phase,Quickbook Invoice,Lennar Amount,Quickbook Amount,Difference,Action Required,Foreman
KOLTER VILLAS,C,164206,"$36,103.52","$36,124.84",$-21.32,Correct amount in Invoice 164206. Over by $21.32.,Unassigned
VIVANT - 2510660,A,164234,"$17,932.52","$17,672.52",$260.00,Correct amount in Invoice 164234. Short by $260.00.,Unassigned
