Project,Phase,Quickbook Invoice,Lennar Amount,Quickbook Amount,Difference,Action Required,Foreman
SOLSTICE TH,A,164279,"$23,470.44","$21,070.44","$2,400.00","Correct amount in Invoice 164279. Short by $2,400.00.",Angel
SOLSTICE TH,UNKNOWN,"163046 BLD05, 162420 BLD11, 163152 BLD07",$0.00,"$1,800.00","$-1,800.00","Correct amount in Invoice 163046 BLD05, 162420 BLD11, 163152 BLD07. Over by $1,800.00.",Angel
